id,name,iata,region,pi_dimensions_cm,pi_dimensions_in,pi_weight_kg,pi_weight_lbs,pi_fee,pi_notes,co_dimensions_cm,co_dimensions_in,co_weight_kg,co_weight_lbs,co_fee,co_notes,cb_dimensions_cm,cb_dimensions_in,cb_weight_kg,cb_weight_lbs,cb_fee_usd,cb_notes,policy_url,last_updated
air-canada,Air Canada,AC,North America,43 x 33 x 16,17 x 13 x 6,,,free,Must fit under seat in front,55 x 40 x 23,21.5 x 15.5 x 9,10,22,free,1 carry-on + 1 personal item. Varies by fare class.,158 linear cm,62 linear in,23,50,30,First bag from $30 CAD. Varies by fare.,https://www.aircanada.com/us/en/aco/home/plan/baggage.html#/,2026-03-30
westjet,WestJet,WS,North America,33 x 41 x 15,13 x 16 x 6,,,free,Must fit under seat in front,53 x 38 x 23,21 x 15 x 9,,,free,Econo fare includes personal item only. EconoFlex+ includes carry-on.,158 linear cm,62 linear in,23,50,30,First bag from $35 CAD. Varies by fare.,https://www.westjet.com/en-ca/baggage,2026-03-30
porter,Porter Airlines,PD,North America,33 x 43 x 14,13 x 17 x 5.5,,,free,Must fit under seat in front,53 x 38 x 23,21 x 15 x 9,,,free,All fares include 1 carry-on + 1 personal item,158 linear cm,62 linear in,23,50,28,First bag from $35 CAD. PorterClassic includes 1 free checked bag.,https://www.flyporter.com/en-ca/travel-information/baggage,2026-03-30
air-transat,Air Transat,TS,North America,43 x 30 x 15,17 x 12 x 6,,,free,Must fit under seat in front,55 x 40 x 23,21.5 x 15.5 x 9,10,22,free,Eco Club and higher fares include 1 carry-on + 1 personal item,158 linear cm,62 linear in,23,50,38,First bag ~$50 CAD. Club Class includes 2 free checked bags.,https://www.airtransat.com/en-CA/travel-information/baggage/weight-dimensions,2026-03-30
united,United Airlines,UA,North America,22 x 35 x 14,9 x 14 x 5.5,,,free,Must fit under seat in front,56 x 35 x 22,22 x 14 x 9,,,free,Basic Economy does not include overhead bin access,158 linear cm,62 linear in,23,50,35,First bag $35 USD in economy. Premier members may be exempt.,https://www.united.com/en/us/fly/baggage.html,2026-03-30
delta,Delta Air Lines,DL,North America,43 x 33 x 16,17 x 13 x 6,,,free,Must fit under seat in front,56 x 35 x 23,22 x 14 x 9,,,free,Basic Economy may not include overhead carry-on on some routes,158 linear cm,62 linear in,23,50,35,First bag $35 USD. Medallion members and Amex card holders may waive fees.,https://www.delta.com/us/en/baggage/overview,2026-03-30
american,American Airlines,AA,North America,45 x 35 x 20,18 x 14 x 8,,,free,Must fit under seat in front,56 x 36 x 23,22 x 14 x 9,,,free,Basic Economy does not allow overhead carry-on on most routes,158 linear cm,62 linear in,23,50,35,First bag $35 USD. AAdvantage status and co-brand card may waive fees.,https://www.aa.com/i18n/travel-info/baggage/baggage.jsp,2026-03-30
southwest,Southwest Airlines,WN,North America,46 x 28 x 14,18 x 11 x 5.5,,,free,Must fit under seat in front,56 x 36 x 23,22 x 14 x 9,,,free,All fares include 1 carry-on + 1 personal item,158 linear cm,62 linear in,23,50,0,2 checked bags FREE for all passengers — Southwest's signature policy,https://support.southwest.com/helpcenter/s/pathway/a1F5G00000cLOqrUAG/baggage,2026-03-30
jetblue,JetBlue,B6,North America,43 x 33 x 18,17 x 13 x 7,,,free,Must fit under seat in front,56 x 36 x 23,22 x 14 x 9,,,free,Blue Basic fare does not include overhead carry-on,158 linear cm,62 linear in,23,50,35,First bag $35 USD. Mosaic members and Mint fares may include free bags.,https://www.jetblue.com/at-the-airport/baggage-information,2026-03-30
alaska,Alaska Airlines,AS,North America,43 x 33 x 20,17 x 13 x 8,,,free,Must fit under seat in front,56 x 36 x 23,22 x 14 x 9,,,free,Saver fare does not include overhead carry-on,158 linear cm,62 linear in,23,50,35,First bag $35 USD. MVP/Gold members get first bag free.,https://www.alaskaair.com/content/travel-info/baggage/overview,2026-03-30
latam,LATAM Airlines,LA,South America,45 x 35 x 20,17.7 x 13.8 x 7.9,,,free,Must fit under seat in front,55 x 35 x 25,21.7 x 13.8 x 9.8,10,22,free,Light fare includes personal item only. Economy includes carry-on.,158 linear cm,62 linear in,23,50,30,First checked bag included in most fares. Light fare charges extra.,https://www.latamairlines.com/us/en/experience/prepare-your-trip/baggage,2026-03-30
avianca,Avianca,AV,South America,45 x 35 x 20,17.7 x 13.8 x 7.9,,,free,Must fit under seat in front,55 x 40 x 25,21.7 x 15.7 x 9.8,10,22,free,Basic fare includes personal item only. Classic and above include carry-on.,158 linear cm,62 linear in,23,50,30,Varies by fare and route. Classic includes 1 free checked bag.,https://www.avianca.com/en/information-and-help/baggage/,2026-03-30
ryanair,Ryanair,FR,Europe,40 x 20 x 25,15.7 x 7.9 x 9.8,,,free,Small personal bag free for ALL fares. Must fit under seat.,55 x 40 x 20,21.7 x 15.7 x 7.9,10,22,varies,Overhead cabin bag included with Priority boarding (~€6+/flight). Standard fares get small bag only.,158 linear cm,62 linear in,20,44,,From ~€8 depending on route and booking time. 10 kg or 20 kg options available.,https://help.ryanair.com/hc/en-gb/categories/12489112419089-Bag-Rules,2026-03-30
easyjet,easyJet,U2,Europe,45 x 36 x 20,17.7 x 14.2 x 7.9,,,free,Under-seat bag free for all passengers,56 x 45 x 25,22 x 17.7 x 9.8,,,varies,Large cabin bag with overhead access included in Plus & Flexi fares. Extra from ~£5.,158 linear cm,62 linear in,23,50,,"From ~£23 depending on route. 15 kg, 23 kg, or 26 kg options available.",https://www.easyjet.com/en/help/baggage/cabin-bags,2026-03-30
lufthansa,Lufthansa,LH,Europe,40 x 30 x 10,15.7 x 11.8 x 3.9,,,free,Small personal item in addition to carry-on,55 x 40 x 23,21.7 x 15.7 x 9,8,18,free,Economy Light fare includes small bag only. Economy Classic and above include carry-on.,158 linear cm,62 linear in,23,50,,Economy Light: paid. Economy Classic includes 1 bag. Business includes 2 bags (32 kg each).,https://www.lufthansa.com/us/en/baggage,2026-03-30
british-airways,British Airways,BA,Europe,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,56 x 45 x 25,22 x 17.7 x 9.8,23,50,free,Very generous 23 kg carry-on allowance. Hand Baggage Only fares exclude checked bags.,158 linear cm,62 linear in,23,50,,Included in most Economy fares. Hand Baggage Only fares must pay extra.,https://www.britishairways.com/en-gb/information/baggage-essentials/hand-baggage-allowances,2026-03-30
air-france,Air France,AF,Europe,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Under-seat personal item included with all fares,55 x 35 x 25,21.7 x 13.8 x 9.8,12,26,free,Light fare includes personal item only. Flex fares and above include carry-on.,158 linear cm,62 linear in,23,50,,Varies by fare. Classic and Flex fares include 1 free checked bag.,https://wwws.airfrance.us/information/bagages/bagage-cabine-soute,2026-03-30
klm,KLM Royal Dutch Airlines,KL,Europe,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Under-seat personal item included with all fares,55 x 35 x 25,21.7 x 13.8 x 9.8,12,26,free,Light fare includes personal item only. Economy Standard and above include carry-on.,158 linear cm,62 linear in,23,50,,Economy Standard includes 1 free checked bag. Light fare pays extra.,https://www.klm.com/information/baggage,2026-03-30
wizz-air,Wizz Air,W6,Europe,40 x 30 x 20,15.7 x 11.8 x 7.9,,,free,Small bag under seat free for all fares,55 x 40 x 23,21.7 x 15.7 x 9,10,22,varies,Cabin bag included with WIZZ Priority and above. Basic fares must purchase.,158 linear cm,62 linear in,20,44,,"Paid add-on. 10 kg, 20 kg, or 32 kg options. Price varies by route.",https://wizzair.com/en-gb/information-and-services/travel-information/baggage,2026-03-30
